Weight0.csv
Test group: 1,Total correct: 25/171,Bad correct: 25/25,Good correct: 0/146
Test group: 1,Total correct: 25/171,Bad correct: 25/25,Good correct: 0/146
Test group: 2,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 3,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 4,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 5,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 6,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 7,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 8,Total correct: 26/171,Bad correct: 26/26,Good correct: 0/145
Test group: 9,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 10,Total correct: 26/175,Bad correct: 26/26,Good correct: 0/149
15489
Test group: 1,Total correct: 25/171,Bad correct: 25/25,Good correct: 0/146
Test group: 2,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 3,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 4,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 5,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 6,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 7,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 8,Total correct: 26/171,Bad correct: 26/26,Good correct: 0/145
15489
Test group: 1,Total correct: 25/171,Bad correct: 25/25,Good correct: 0/146
Test group: 2,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 3,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 4,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 5,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 6,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
Test group: 7,Total correct: 26/172,Bad correct: 26/26,Good correct: 0/146
